account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
106188,,,,,,,,897,850,241,641,941,492,320,,,,,,,,,,,,
106192,,,,,,,,27303,26515,25041,5352,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106193,,,,,,,,311,161,417,436,782,542,598,381,Excluded,,,,,,,,,,
106194,,,,,,,,81,115,107,70,Excluded,Excluded,76,Excluded,Excluded,,,,,,,,,,
106196,,,,,,,,193,Excluded,134,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106197,,,,,,,,234,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106199,,,,,,,,89,166,115,15,16,47,0,66,0,,,,,,,,,,
106208,,,,,,,,2415,1194,1691,1647,1777,2677,4709,3712,3380,,,,,,,,,,
106209,,,,,,,,697,728,265,345,215,153,175,131,Excluded,,,,,,,,,,
106228,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106229,,,,,,,,68,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106230,,,,,,,,38832,35636,41963,46215,54688,63342,59759,100134,50132,,,,,,,,,,
106231,,,,,,,,77,75,112,79,99,57,58,38,Excluded,,,,,,,,,,
106232,,,,,,,,5245,7596,6933,,,,,,,,,,,,,,,,
106234,,,,,,,,1901994,1650820,1578058,1484690,1484436,1420336,1459157,1457057,592533,,,,,,,,,,
106237,,,,,,,,2036,1307,1208,1591,633,476,542,880,2540,,,,,,,,,,
106240,,,,,,,,29,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106241,,,,,,,,168,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106243,,,,,,,,159,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106245,,,,,,0,0,149622,151162,152071,156251,152653,153438,161202,157363,154644,,,,,,,,,,
106246,,,,,,,,16376,16656,13471,15330,,,,,,,,,,,,,,,
106247,,,,,,,,250,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106249,,,,,,,,16,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106250,,,,,,,,64965,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106251,,,,,,0,0,17,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,
106252,,,,,,0,0,439,Excluded,Excluded,489,1189,1005,1460,1113,833,,,,,,,,,,
106253,,,,,,,,94,24,78,170,217,71,8,0,Excluded,,,,,,,,,,
