account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100073,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,,,,,,,,,,,
100074,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,,,,,,,,,,,
100075,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,,,,,,,,,,,
100076,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100077,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,,,,,,,,,,,
100078,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100079,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,
100080,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100081,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,,,,,,,,,,,
100082,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100083,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100084,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100085,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100086,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100087,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100088,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100089,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100090,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100091,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100092,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100093,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100094,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100095,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100096,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100097,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100098,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100099,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100100,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
